end_codigo;end_logradouro;end_numero;end_bairro;end_municipio;end_cep;end_estado;end_pais
8;8867 Non, St.;106;Jardim Esperança;Clackmannan;12518150;SP;American Samoa
9;P.O. Box 307, 537 Mauris, Ave;180;Jardim Esperança;Quillón;12518150;SP;Iraq
10;P.O. Box 516, 3243 Tellus, Avenue;424;Jardim Esperança;Macklin;12518150;SP;Haiti
11;185-3263 Id, Street;21;Jardim Esperança;Minna;12518150;SP;New Caledonia
12;8286 Ac Ave;157;Jardim Esperança;Gravataí;12518150;SP;Sudan
13;Ap #507-7003 Elementum Rd.;222;Jardim Esperança;Vienna;12518150;SP;India
14;4444 Pellentesque Av.;953;Jardim Esperança;Napier;12518150;SP;Colombia
15;578-5382 Ipsum Road;987;Jardim Esperança;Vienna;12518150;SP;Croatia
16;216 Eros Road;374;Jardim Esperança;Märsta;12518150;SP;Seychelles
17;883-1430 Cras Rd.;103;Jardim Esperança;Meise;12518150;SP;Laos
18;7941 Dis Ave;447;Jardim Esperança;Ajmer;12518150;SP;Egypt
19;8056 Natoque Street;749;Jardim Esperança;Timkur;12518150;SP;Christmas Island
20;Ap #330-9469 Nullam St.;649;Jardim Esperança;Cagnes-sur-Mer;12518150;SP;Swaziland
21;Ap #723-6911 Dis Av.;550;Jardim Esperança;Oosterhout;12518150;SP;Liechtenstein
22;7603 Suspendisse St.;361;Jardim Esperança;Bauchi;12518150;SP;Panama
23;P.O. Box 592, 442 Felis Avenue;480;Jardim Esperança;Poederlee;12518150;SP;Azerbaijan
24;Ap #240-4527 Sed Rd.;526;Jardim Esperança;Uppingham. Cottesmore;12518150;SP;Saint Helena, Ascension and Tristan da Cunha
25;751-5183 Integer Street;294;Jardim Esperança;Mauá;12518150;SP;Togo
26;P.O. Box 954, 446 Urna. Street;882;Jardim Esperança;Lowell;12518150;SP;Iran
27;660-8638 Augue St.;882;Jardim Esperança;Orangeville;12518150;SP;Bhutan
28;3879 Amet, Av.;470;Jardim Esperança;Galway;12518150;SP;Curaçao
29;339 Felis Ave;109;Jardim Esperança;BiercŽe;12518150;SP;Côte D'Ivoire (Ivory Coast)
30;Ap #331-5663 Porttitor Rd.;527;Jardim Esperança;Wörgl;12518150;SP;Libya
31;9629 Fusce Avenue;319;Jardim Esperança;Märsta;12518150;SP;Taiwan
32;7143 Semper St.;793;Jardim Esperança;Nampa;12518150;SP;Reunion
33;9120 Metus Avenue;714;Jardim Esperança;Sandy;12518150;SP;Latvia
34;Ap #742-411 Cursus Ave;686;Jardim Esperança;La Salle;12518150;SP;Kuwait
35;P.O. Box 948, 5444 Mollis St.;599;Jardim Esperança;Ajaccio;12518150;SP;Ethiopia
36;9889 Accumsan Avenue;356;Jardim Esperança;Polatl?;12518150;SP;Sint Maarten
37;Ap #345-2854 Mauris, St.;469;Jardim Esperança;Vienna;12518150;SP;China
38;Ap #105-1887 Lorem, Street;501;Jardim Esperança;Berlin;12518150;SP;Heard Island and Mcdonald Islands
39;Ap #838-9141 Turpis St.;779;Jardim Esperança;Leduc;12518150;SP;Gibraltar
40;570-2804 Sed, Rd.;809;Jardim Esperança;Sydney;12518150;SP;Saint Barthélemy
41;P.O. Box 115, 416 Morbi Street;525;Jardim Esperança;Konya;12518150;SP;Macedonia
42;Ap #421-8787 Non, Av.;808;Jardim Esperança;Bünyan;12518150;SP;Chad
43;Ap #900-4248 Id Avenue;161;Jardim Esperança;Vienna;12518150;SP;Swaziland
44;P.O. Box 740, 9564 In, St.;108;Jardim Esperança;Belfast;12518150;SP;New Caledonia
45;2553 Urna. Avenue;732;Jardim Esperança;Fermont;12518150;SP;Suriname
46;P.O. Box 144, 8808 Ipsum. Av.;116;Jardim Esperança;K?z?lcahamam;12518150;SP;Congo, the Democratic Republic of the
