usu_codigo;usu_login;usu_senha;usu_estado;usu_data_criacao;usu_primeiro_login;usu_redefinir_senha;pes_codigo;tus_codigo;gra_codigo
7;at.augue@augue.ca;5d68217d0c3ddfc029f1f8f2e61a80a8256342f27893ff0fe55da861e75325d6f7c805a26cae587f01aee7980700e8f06422c233a0e2a8e9bf26aad0c39e00c6;1;2020-01-06;1;0;7;4;1
8;egestas.Aliquam@orci.edu;5d68217d0c3ddfc029f1f8f2e61a80a8256342f27893ff0fe55da861e75325d6f7c805a26cae587f01aee7980700e8f06422c233a0e2a8e9bf26aad0c39e00c6;1;2018-10-17;1;0;8;4;1
9;adipiscing@elitpellentesquea.net;5d68217d0c3ddfc029f1f8f2e61a80a8256342f27893ff0fe55da861e75325d6f7c805a26cae587f01aee7980700e8f06422c233a0e2a8e9bf26aad0c39e00c6;1;2018-10-28;1;0;9;5;1
10;pede.ultrices.a@nunc.com;5d68217d0c3ddfc029f1f8f2e61a80a8256342f27893ff0fe55da861e75325d6f7c805a26cae587f01aee7980700e8f06422c233a0e2a8e9bf26aad0c39e00c6;1;2019-03-23;1;0;10;5;1
11;Duis@quamCurabitur.edu;5d68217d0c3ddfc029f1f8f2e61a80a8256342f27893ff0fe55da861e75325d6f7c805a26cae587f01aee7980700e8f06422c233a0e2a8e9bf26aad0c39e00c6;1;2018-08-19;1;0;11;4;1
12;semper@Integermollis.edu;5d68217d0c3ddfc029f1f8f2e61a80a8256342f27893ff0fe55da861e75325d6f7c805a26cae587f01aee7980700e8f06422c233a0e2a8e9bf26aad0c39e00c6;1;2019-09-03;1;0;12;5;1
13;nibh@Nuncmauriselit.com;5d68217d0c3ddfc029f1f8f2e61a80a8256342f27893ff0fe55da861e75325d6f7c805a26cae587f01aee7980700e8f06422c233a0e2a8e9bf26aad0c39e00c6;1;2018-07-22;1;0;13;4;1
14;orci.lobortis.augue@Donecest.co.uk;5d68217d0c3ddfc029f1f8f2e61a80a8256342f27893ff0fe55da861e75325d6f7c805a26cae587f01aee7980700e8f06422c233a0e2a8e9bf26aad0c39e00c6;1;2019-03-25;1;0;14;4;1
15;semper.rutrum@nonjustoProin.ca;5d68217d0c3ddfc029f1f8f2e61a80a8256342f27893ff0fe55da861e75325d6f7c805a26cae587f01aee7980700e8f06422c233a0e2a8e9bf26aad0c39e00c6;1;2018-12-17;1;0;15;4;1
16;nec.euismod@maurisInteger.co.uk;5d68217d0c3ddfc029f1f8f2e61a80a8256342f27893ff0fe55da861e75325d6f7c805a26cae587f01aee7980700e8f06422c233a0e2a8e9bf26aad0c39e00c6;1;2019-06-15;1;0;16;5;1
17;Morbi.sit@nuncinterdum.org;5d68217d0c3ddfc029f1f8f2e61a80a8256342f27893ff0fe55da861e75325d6f7c805a26cae587f01aee7980700e8f06422c233a0e2a8e9bf26aad0c39e00c6;1;2019-06-03;1;0;17;5;1
